"Date","Avg_Forecast","Avg_Lo_95","Avg_Hi_95"
2023-10-01,1076.21921529533,894.729764205999,1258.37053582925
2023-11-01,952.053828894363,760.14976681148,1141.18149351545
2023-12-01,1414.54074324413,1193.03255474394,1637.51640389747
2024-01-01,636.089044537067,442.268310868397,832.0246273588
2024-02-01,571.611078279323,368.249056268112,769.839770453826
2024-03-01,675.349185154839,462.137601884878,892.753754328884
2024-04-01,1105.26225207001,813.208045451141,1403.39064861544
2024-05-01,1100.6037026006,799.094777571938,1402.57346006393
2024-06-01,1069.36831447102,771.651560197056,1371.44220042661
2024-07-01,978.316013196371,698.85524982534,1263.84259555719
2024-08-01,800.709492154738,529.346545771974,1073.31874126788
2024-09-01,955.926228915477,644.4251521415,1265.1009420484
2024-10-01,1137.22871933053,758.773418615027,1519.34856092915
2024-11-01,1006.54786320342,661.891405248767,1348.67064795921
2024-12-01,1423.12560136841,929.968435167576,1917.93700547775
